FILEID
STUSAB
CHARITER
CIFSN
LOGRECNO
PCT0030001
PCT0030002
PCT0030003
PCT0030004
PCT0030005
PCT0030006
PCT0030007
PCT0030008
PCT0030009
PCT0030010
PCT0030011
PCT0030012
PCT0030013
PCT0030014
PCT0030015
PCT0030016
PCT0030017
PCT0030018
PCT0030019
PCT0030020
PCT0030021
PCT0030022
PCT0030023
PCT0030024
PCT0030025
PCT0030026
PCT0030027
PCT0030028
PCT0030029
PCT0030030
PCT0030031
PCT0030032
PCT0030033
PCT0030034
PCT0030035
PCT0030036
PCT0030037
PCT0030038
PCT0030039
PCT0030040
PCT0030041
PCT0030042
PCT0030043
PCT0030044
PCT0030045
PCT0030046
PCT0030047
PCT0030048
PCT0030049
PCT0030050
PCT0030051
PCT0030052
PCT0030053
PCT0030054
PCT0030055
PCT0030056
PCT0030057
PCT0030058
PCT0030059
PCT0030060
PCT0030061
PCT0030062
PCT0030063
PCT0030064
PCT0030065
PCT0030066
PCT0030067
PCT0030068
PCT0030069
PCT0030070
PCT0030071
PCT0030072
PCT0030073
PCT0030074
PCT0030075
PCT0030076
PCT0030077
PCT0030078
PCT0030079
PCT0030080
PCT0030081
PCT0030082
PCT0030083
PCT0030084
PCT0030085
PCT0030086
PCT0030087
PCT0030088
PCT0030089
PCT0030090
PCT0030091
PCT0030092
PCT0030093
PCT0030094
PCT0030095
PCT0030096
PCT0030097
PCT0030098
PCT0030099
PCT0030100
PCT0030101
PCT0030102
PCT0030103
PCT0030104
PCT0030105
PCT0030106
PCT0030107
PCT0030108
PCT0030109
PCT0030110
PCT0030111
PCT0030112
PCT0030113
PCT0030114
PCT0030115
PCT0030116
PCT0030117
PCT0030118
PCT0030119
PCT0030120
PCT0030121
PCT0030122
PCT0030123
PCT0030124
PCT0030125
PCT0030126
PCT0030127
PCT0030128
PCT0030129
PCT0030130
PCT0030131
PCT0030132
PCT0030133
PCT0030134
PCT0030135
PCT0030136
PCT0030137
PCT0030138
PCT0030139
PCT0030140
PCT0030141
PCT0030142
PCT0030143
PCT0030144
PCT0030145
PCT0030146
PCT0030147
PCT0030148
PCT0030149
PCT0030150
PCT0030151
PCT0030152
PCT0030153
PCT0030154
PCT0030155
PCT0030156
PCT0030157
PCT0030158
PCT0030159
PCT0030160
PCT0030161
PCT0030162
PCT0030163
PCT0030164
PCT0030165
PCT0030166
PCT0030167
PCT0030168
PCT0030169
PCT0030170
PCT0030171
PCT0030172
PCT0030173
PCT0030174
PCT0030175
PCT0030176
PCT0030177
PCT0030178
PCT0030179
PCT0030180
PCT0030181
PCT0030182
PCT0030183
PCT0030184
PCT0030185
PCT0030186
PCT0030187
PCT0030188
PCT0030189
PCT0030190
PCT0030191
PCT0030192
PCT0030193
PCT0030194
PCT0030195
PCT0030196
PCT0030197
PCT0030198
PCT0030199
PCT0030200
PCT0030201
PCT0030202
PCT0030203
PCT0030204
PCT0030205
PCT0030206
PCT0030207
PCT0030208
PCT0030209
PCT0040001
PCT0040002
PCT0040003
