CODE,PARENT_CODE,DESCRIPTION,TYPE,GQ
337,335,"Combined New England City and Town Area-New England City and Town Area",NATIONAL,FALSE
338,337,"Combined New England City and Town Area-New England City and Town Area-State",NATIONAL,FALSE
860,NA,"5-Digit ZIP Code Tabulation Area",NATIONAL,FALSE
040,NA,"State",STATE,TRUE
050,040,"State-County",STATE,TRUE
320,040,"State-Metropolitan Statistical Area/Micropolitan Statistical Area",STATE,TRUE
322,320,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-County",STATE,TRUE
323,320,"State-Metropolitan Statistical Area-Metropolitan Division",STATE,TRUE
324,323,"State-Metropolitan Statistical Area-Metropolitan Division-County",STATE,TRUE
340,040,"State-Combined Statistical Area",STATE,TRUE
341,340,"State-Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area",STATE,TRUE
500,040,"State-Congressional District",STATE,TRUE
610,040,"State-State Legislative District (Upper Chamber)",STATE,TRUE
620,040,"State-State Legislative District (Lower Chamber)",STATE,TRUE
040,NA,"State",STATE,FALSE
050,040,"State-County",STATE,FALSE
060,050,"State-County-County Subdivision",STATE,FALSE
070,060,"State-County-County Subdivision-Place/Remainder",STATE,FALSE
080,070,"State-County-County Subdivision-Place/Remainder-Census Tract",STATE,FALSE
067,060,"State-County-County Subdivision-Subminor Civil Division",STATE,FALSE
140,050,"State-County-Census Tract",STATE,FALSE
144,140,"State-County-Census Tract-American Indian Area/Alaska Native Area/Hawaiian Home Land",STATE,FALSE
160,040,"State-Place",STATE,FALSE
155,160,"State-Place-County",STATE,FALSE
158,155,"State-Place-County-Census Tract",STATE,FALSE
170,040,"State-Consolidated City",STATE,FALSE
172,170,"State-Consolidated City-Place Within Consolidated City",STATE,FALSE
280,040,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land",STATE,FALSE
282,280,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land-County",STATE,FALSE
261,282,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land-County-County Subdivision",STATE,FALSE
263,261,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land-County-County Subdivision-Place/Remainder",STATE,FALSE
283,280,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)",STATE,FALSE
285,283,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-County",STATE,FALSE
265,285,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-County-County Subdivision",STATE,FALSE
266,286,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-County-County Subdvision-Place/Remainder",STATE,FALSE
286,280,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land",STATE,FALSE
288,286,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-County",STATE,FALSE
267,288,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-County-County Subdivision",STATE,FALSE
268,267,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-County-County Subdivision-Place/Remainder",STATE,FALSE
281,280,"State-American Indian Area-Tribal Subdivision/Remainder",STATE,FALSE
284,281,"State-American Indian Area (Reservation or Statistical Entity Only)-Tribal Subdivision/Remainder",STATE,FALSE
287,281,"State-American Indian Area (Off-Reservation Trust Land Only)-Tribal Subdivision/Remainder",STATE,FALSE
230,040,"State-Alaska Native Regional Corporation",STATE,FALSE
320,040,"State-Metropolitan Statistical Area/Micropolitan Statistical Area",STATE,FALSE
321,320,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-Principal City",STATE,FALSE
322,320,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-County",STATE,FALSE
323,320,"State-Metropolitan Statistical Area-Metropolitan Division",STATE,FALSE
324,323,"State-Metropolitan Statistical Area-Metropolitan Division-County",STATE,FALSE
340,040,"State-Combined Statistical Area",STATE,FALSE
341,340,"State-Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area",STATE,FALSE
360,040,"State-New England City and Town Area",STATE,FALSE
361,360,"State-New England City and Town Area-Principal City",STATE,FALSE
362,360,"State-New England City and Town Area-County",STATE,FALSE
363,362,"State-New England City and Town Area-County-CountySubdivision",STATE,FALSE
364,360,"State-New England City and Town Area (NECTA)-NECTA Division",STATE,FALSE
365,364,"State-New England City and Town Area (NECTA)-NECTA Division-County",STATE,FALSE
366,365,"State-New England City and Town Area (NECTA)-NECTA Division-County-County Subdivision",STATE,FALSE
345,040,"State-Combined New England City and Town Area",STATE,FALSE
346,345,"State-Combined New England City and Town Area-New England City and Town Area",STATE,FALSE
500,040,"State-Congressional District",STATE,FALSE
610,040,"State-State Legislative District (Upper Chamber)",STATE,FALSE
620,040,"State-State Legislative District (Lower Chamber)",STATE,FALSE
871,040,"State-5-Digit ZIP Code Tabulation Area",STATE,FALSE
950,040,"State-School District (Elementary)/Remainder",STATE,FALSE
960,040,"State-School District (Secondary)/Remainder",STATE,FALSE
970,040,"State-School District (Unified)/Remainder",STATE,FALSE
