FILEID
STUSAB
CHARITER
CIFSN
LOGRECNO
PCT0190001
PCT0190002
PCT0190003
PCT0190004
PCT0190005
PCT0190006
PCT0190007
PCT0190008
PCT0190009
PCT0190010
PCT0190011
PCT0190012
PCT0190013
PCT0190014
PCT0190015
PCT0190016
PCT0190017
PCT0190018
PCT0190019
PCT0190020
PCT0190021
PCT0190022
PCT0190023
PCT0190024
PCT0190025
PCT0190026
PCT0190027
PCT0190028
PCT0190029
PCT0190030
PCT0190031
PCT0190032
PCT0190033
PCT0190034
PCT0200001
PCT0200002
PCT0200003
PCT0200004
PCT0200005
PCT0200006
PCT0200007
PCT0200008
PCT0200009
PCT0200010
PCT0200011
PCT0200012
PCT0200013
PCT0200014
PCT0200015
PCT0200016
PCT0210001
PCT0210002
PCT0210003
PCT0210004
PCT0210005
PCT0210006
PCT0210007
PCT0210008
PCT0210009
PCT0210010
PCT0210011
PCT0210012
PCT0210013
PCT0210014
PCT0210015
PCT0210016
PCT0210017
PCT0210018
PCT0210019
PCT0210020
PCT0210021
PCT0210022
PCT0210023
PCT0210024
PCT0210025
PCT0210026
PCT0220001
PCT0220002
PCT0220003
PCT0220004
PCT0220005
PCT0220006
PCT0220007
PCT0220008
PCT0220009
PCT0220010
PCT0220011
PCT0220012
PCT0220013
PCT0220014
PCT0220015
PCT0220016
PCT0220017
PCT0220018
PCT0220019
PCT0220020
PCT0220021
PCT0220022
PCT0220023
PCT0220024
PCT0220025
PCT0220026
PCT0220027
PCT0220028
PCT0230001
PCT0230002
PCT0230003
PCT0230004
PCT0230005
PCT0230006
PCT0230007
PCT0230008
PCT0230009
PCT0230010
PCT0230011
PCT0230012
PCT0230013
PCT0240001
PCT0240002
PCT0240003
PCT0240004
PCT0240005
PCT0240006
PCT0240007
PCT0240008
PCT0240009
PCT0240010
PCT0240011
PCT0240012
PCT0240013
PCT0240014
PCT0240015
PCT0240016
PCT0250001
PCT0250002
PCT0250003
PCT0250004
PCT0250005
PCT0250006
PCT0250007
PCT0250008
PCT0250009
PCT0250010
PCT0250011
PCT0250012
PCT0250013
PCT0250014
PCT0250015
PCT0250016
PCT0250017
PCT0250018
PCT0250019
PCT0250020
PCT0250021
PCT0250022
PCT0250023
PCT0250024
PCT0250025
PCT0250026
PCT0250027
PCT0250028
PCT0250029
PCT0250030
PCT0250031
PCT0250032
PCT0250033
PCT0250034
PCT0250035
PCT0250036
PCT0250037
PCT0250038
PCT0250039
PCT0250040
PCT0250041
PCT0250042
PCT0250043
PCT0250044
PCT0250045
PCT0260001
PCT0260002
PCT0260003
PCT0260004
PCT0260005
PCT0260006
PCT0260007
PCT0270001
PCT0270002
PCT0270003
PCT0270004
PCT0270005
PCT0270006
PCT0270007
PCT0270008
PCT0270009
PCT0270010
PCT0270011
PCT0270012
PCT0270013
PCT0270014
PCT0270015
PCT0270016
PCT0270017
PCT0270018
PCT0280001
PCT0280002
PCT0280003
PCT0280004
PCT0280005
PCT0280006
PCT0280007
PCT0280008
PCT0280009
PCT0280010
PCT0280011
PCT0280012
PCT0280013
PCT0280014
PCT0280015
PCT0280016
PCT0280017
PCT0280018
PCT0280019
PCT0280020
PCT0280021
PCT0280022
PCT0280023
PCT0290001
PCT0300001
PCT0300002
PCT0300003
PCT0310001
PCT0310002
PCT0310003
